Time resolution is 1 ps
Input: A=0000, B=0000, C=0, Sum=0000, Carry=0
Input: A=0000, B=0001, C=0, Sum=0001, Carry=0
Input: A=0000, B=0010, C=0, Sum=0010, Carry=0
Input: A=0000, B=0011, C=0, Sum=0011, Carry=0
Input: A=0000, B=0100, C=0, Sum=0100, Carry=0
Input: A=0000, B=0101, C=0, Sum=0101, Carry=0
Input: A=0000, B=0110, C=0, Sum=0110, Carry=0
Input: A=0000, B=0111, C=0, Sum=0111, Carry=0
Input: A=0000, B=1000, C=0, Sum=1000, Carry=0
Input: A=0000, B=1001, C=0, Sum=1001, Carry=0
Input: A=0000, B=1010, C=0, Sum=1010, Carry=0
Input: A=0000, B=1011, C=0, Sum=1011, Carry=0
Input: A=0000, B=1100, C=0, Sum=1100, Carry=0
Input: A=0000, B=1101, C=0, Sum=1101, Carry=0
Input: A=0000, B=1110, C=0, Sum=1110, Carry=0
Input: A=0000, B=1111, C=0, Sum=1111, Carry=0
Input: A=0001, B=0000, C=0, Sum=0001, Carry=0
Input: A=0001, B=0001, C=0, Sum=0010, Carry=0
Input: A=0001, B=0010, C=0, Sum=0011, Carry=0
Input: A=0001, B=0011, C=0, Sum=0100, Carry=0
Input: A=0001, B=0100, C=0, Sum=0101, Carry=0
Input: A=0001, B=0101, C=0, Sum=0110, Carry=0
Input: A=0001, B=0110, C=0, Sum=0111, Carry=0
Input: A=0001, B=0111, C=0, Sum=1000, Carry=0
Input: A=0001, B=1000, C=0, Sum=1001, Carry=0
Input: A=0001, B=1001, C=0, Sum=1010, Carry=0
Input: A=0001, B=1010, C=0, Sum=1011, Carry=0
Input: A=0001, B=1011, C=0, Sum=1100, Carry=0
Input: A=0001, B=1100, C=0, Sum=1101, Carry=0
Input: A=0001, B=1101, C=0, Sum=1110, Carry=0
Input: A=0001, B=1110, C=0, Sum=1111, Carry=0
Input: A=0001, B=1111, C=0, Sum=0000, Carry=1
Input: A=0010, B=0000, C=0, Sum=0010, Carry=0
Input: A=0010, B=0001, C=0, Sum=0011, Carry=0
Input: A=0010, B=0010, C=0, Sum=0100, Carry=0
Input: A=0010, B=0011, C=0, Sum=0101, Carry=0
Input: A=0010, B=0100, C=0, Sum=0110, Carry=0
Input: A=0010, B=0101, C=0, Sum=0111, Carry=0
Input: A=0010, B=0110, C=0, Sum=1000, Carry=0
Input: A=0010, B=0111, C=0, Sum=1001, Carry=0
Input: A=0010, B=1000, C=0, Sum=1010, Carry=0
Input: A=0010, B=1001, C=0, Sum=1011, Carry=0
Input: A=0010, B=1010, C=0, Sum=1100, Carry=0
Input: A=0010, B=1011, C=0, Sum=1101, Carry=0
Input: A=0010, B=1100, C=0, Sum=1110, Carry=0
Input: A=0010, B=1101, C=0, Sum=1111, Carry=0
Input: A=0010, B=1110, C=0, Sum=0000, Carry=1
Input: A=0010, B=1111, C=0, Sum=0001, Carry=1
Input: A=0011, B=0000, C=0, Sum=0011, Carry=0
Input: A=0011, B=0001, C=0, Sum=0100, Carry=0
Input: A=0011, B=0010, C=0, Sum=0101, Carry=0
Input: A=0011, B=0011, C=0, Sum=0110, Carry=0
Input: A=0011, B=0100, C=0, Sum=0111, Carry=0
Input: A=0011, B=0101, C=0, Sum=1000, Carry=0
Input: A=0011, B=0110, C=0, Sum=1001, Carry=0
Input: A=0011, B=0111, C=0, Sum=1010, Carry=0
Input: A=0011, B=1000, C=0, Sum=1011, Carry=0
Input: A=0011, B=1001, C=0, Sum=1100, Carry=0
Input: A=0011, B=1010, C=0, Sum=1101, Carry=0
Input: A=0011, B=1011, C=0, Sum=1110, Carry=0
Input: A=0011, B=1100, C=0, Sum=1111, Carry=0
Input: A=0011, B=1101, C=0, Sum=0000, Carry=1
Input: A=0011, B=1110, C=0, Sum=0001, Carry=1
Input: A=0011, B=1111, C=0, Sum=0010, Carry=1
Input: A=0100, B=0000, C=0, Sum=0100, Carry=0
Input: A=0100, B=0001, C=0, Sum=0101, Carry=0
Input: A=0100, B=0010, C=0, Sum=0110, Carry=0
Input: A=0100, B=0011, C=0, Sum=0111, Carry=0
Input: A=0100, B=0100, C=0, Sum=1000, Carry=0
Input: A=0100, B=0101, C=0, Sum=1001, Carry=0
Input: A=0100, B=0110, C=0, Sum=1010, Carry=0
Input: A=0100, B=0111, C=0, Sum=1011, Carry=0
Input: A=0100, B=1000, C=0, Sum=1100, Carry=0
Input: A=0100, B=1001, C=0, Sum=1101, Carry=0
Input: A=0100, B=1010, C=0, Sum=1110, Carry=0
Input: A=0100, B=1011, C=0, Sum=1111, Carry=0
Input: A=0100, B=1100, C=0, Sum=0000, Carry=1
Input: A=0100, B=1101, C=0, Sum=0001, Carry=1
Input: A=0100, B=1110, C=0, Sum=0010, Carry=1
Input: A=0100, B=1111, C=0, Sum=0011, Carry=1
Input: A=0101, B=0000, C=0, Sum=0101, Carry=0
Input: A=0101, B=0001, C=0, Sum=0110, Carry=0
Input: A=0101, B=0010, C=0, Sum=0111, Carry=0
Input: A=0101, B=0011, C=0, Sum=1000, Carry=0
Input: A=0101, B=0100, C=0, Sum=1001, Carry=0
Input: A=0101, B=0101, C=0, Sum=1010, Carry=0
Input: A=0101, B=0110, C=0, Sum=1011, Carry=0
Input: A=0101, B=0111, C=0, Sum=1100, Carry=0
Input: A=0101, B=1000, C=0, Sum=1101, Carry=0
Input: A=0101, B=1001, C=0, Sum=1110, Carry=0
Input: A=0101, B=1010, C=0, Sum=1111, Carry=0
Input: A=0101, B=1011, C=0, Sum=0000, Carry=1
Input: A=0101, B=1100, C=0, Sum=0001, Carry=1
Input: A=0101, B=1101, C=0, Sum=0010, Carry=1
Input: A=0101, B=1110, C=0, Sum=0011, Carry=1
Input: A=0101, B=1111, C=0, Sum=0100, Carry=1
Input: A=0110, B=0000, C=0, Sum=0110, Carry=0
Input: A=0110, B=0001, C=0, Sum=0111, Carry=0
Input: A=0110, B=0010, C=0, Sum=1000, Carry=0
Input: A=0110, B=0011, C=0, Sum=1001, Carry=0
